識別子（新ファイル名）,もとのファイル名
B00-01.jpg,B00-01-雪の戦勝記念塔.jpeg
B02-01.jpg,B02-01-Luise1900.jpg
B02-02.jpg,B02-02-Anker.jpg
B02-03.jpg,B02-03-Wilhelm1908.jpg
B02-04.jpg,B02-04-Ufers.jpg
B02-05.jpg,B02-05-Karyatiden-Atlanten.jpg
B02-06.jpg,"B02-06-Herkulesbrücke,_Berlin_1900.jpg"
B03.jpg,B03-KaiserPanorama.jpg
B04-01.jpg,B04-01-ポールクリューガー.jpg
B04-02.jpg,B04-02-戦勝大通り.jpg
B04-03.jpg,B04-03-彫像.jpg
B04-04.jpg,B04-04-mosaik.jpeg
B05-01.jpg,B05-01-EmilBenjamin1891.jpeg
B05-02.jpg,B05-02-Meyers1906.jpg
B06-01.jpg,B06-01-捕虫網をもったヴァルター.jpg
B07-01.jpg,"B07-01-Anhalter_Bahnhof,_Gleishalle_nach1881.jpg"
B07-02.jpg,B07-02-MeyersHof1910.jpeg
B09-01.jpg,B09-01-カイザー・フリードリヒ学校.jpeg
B10-02.jpg,B10-02-背中の鉱山.jpg
B12-01.jpg,B12-01-屋内市場1899.jpeg
B12-02.jpg,B12-02-第二市場の光景モンタージュ1900.jpg
B13-01.jpg,B13-01-指遊び.jpeg
B13-02.jpg,B13-02-影絵遊び.jpg
B13-03.jpg,B13-03-Wagner男の子の遊びの本口絵.jpeg
B15-01.jpg,B15-01-象のパゴダ.jpg
B15-02.jpg,B15-02-カワウソ舎1925年前後.jpg
B17-01.jpg,B17-01-孔雀島城館.jpg
B17-02.jpg,B17-02-自転車学校の練習風景1896.jpg
B17-03.jpg,B17-03-自転車1880_1886.jpg
B18-01.jpg,B18-01-Blick_in_einen_großbürgerlichen_Salon_(Kiel_45.119).jpeg
B18-02.jpg,B18-02-二階平面図20251106改訂.jpg
B18-03.jpg,B18-03-祖母の筆跡.jpeg
B19-01.jpg,B19-01-字習い箱.jpg
B20-01.jpg,B20-01-食器棚.jpg
B20-02.jpg,B20-02-グランヴィルもうひとつの世界.jpg
B21-01.jpg,B21-01-カール・フレミング.jpeg
B24-01.jpg,B24-01-Zwiebelmuster1890.jpg
B26-01.jpg,B26-01-火災現場.jpg
B27-01.jpg,B27-01-糸紡ぎ.jpg
B27-02.jpg,B27-02-弟とセーラー服1904.jpeg
B27-03.jpg,B27-03-トール.jpg
B27-04.jpg,B27-04-刺繍練習の図柄.jpg
B28-01.jpg,B28-01-クリスマスツリー市場.jpg
B28-02.jpg,B28-02-手回しオルガン弾き.jpg
B29-01.jpg,B29-01-動物園でのコンサート.jpg
B29-02.jpg,B29-02-新しい湖でのスケート風景1900.jpg
C-B04-02.jpg,C-B04-02-BurenGenerals1902.jpg
C-B06-01.jpg,C-B06-01-ラーマン図版.jpg
C-B07-01.jpg,C-B07-01-ベルリンからヘリングスドルフへの時刻表.jpeg
C-B11-01.jpg,C-B11-01-プーファール家1900年の住所New.jpg
C-B21-01.jpg,C-B21-01-自分の力で口絵.jpg
C-B23-01.jpg,C-B23-01-Hiesel記事.jpeg
C-P18-01.jpg,C-P18-01-月光葉書昼夜.jpeg
C-X01.jpg,C-X01-章構成対照表.jpg
P01-01.jpg,P01-01-ロッジアとバルコニー.jpg
P19-01.jpg,P19-01-市営プール.jpg
B15-00.jpg,B15-00-ベルリン動物園案内図.jpg
